Column Name,Column Description,Units of measurement,missing data/no data value
C18_1nX_2,"fatty acid quantity of sample determined via GC-MS for 18:1, uknown omega double bond location",micrograms,
C18_2n6t,"fatty acid quantity of sample determined via GC-MS for 18:2 omega-6, trans",micrograms,
C18_2n6c,"fatty acid quantity of sample determined via GC-MS for 18:2 omega-6, cis, linoleic acid",micrograms,
i19_0,"fatty acid quantity of sample determined via GC-MS for iso 19:0, branched",micrograms,
C18_2,"fatty acid quantity of sample determined via GC-MS for 18:2, uknown omega double bond location",micrograms,
C18_3n6,fatty acid quantity of sample determined via GC-MS for 18:3 omega-6,micrograms,
C19_0,fatty acid quantity of sample determined via GC-MS for 19:0,micrograms,
C18_3n3,"fatty acid quantity of sample determined via GC-MS for 18:3 omega-3, alpha-linolenic acid",micrograms,
C19_1,"fatty acid quantity of sample determined via GC-MS for 19:1, uknown omega double bond location",micrograms,
C18_4n3,"fatty acid quantity of sample determined via GC-MS for 18:4 omega-3, stearidonic acid",micrograms,
C20_0,"fatty acid quantity of sample determined via GC-MS for 20:0, arachidic acid",micrograms,
C20_1nX_1,"fatty acid quantity of sample determined via GC-MS for 20:1, uknown omega double bond location",micrograms,
C20_1n9,fatty acid quantity of sample determined via GC-MS for 20:1 omega-9,micrograms,
C20_1nX_2,"fatty acid quantity of sample determined via GC-MS for 20:1, uknown omega double bond location",micrograms,
C20_2nX_1,"fatty acid quantity of sample determined via GC-MS for 20:2, uknown omega double bond location",micrograms,
C20_1nX_3,"fatty acid quantity of sample determined via GC-MS for 20:1, uknown omega double bond location",micrograms,
C20_2nX_2,"fatty acid quantity of sample determined via GC-MS for 20:2, uknown omega double bond location",micrograms,
C20_2nX_3,"fatty acid quantity of sample determined via GC-MS for 20:2, uknown omega double bond location",micrograms,
C20_2n6,fatty acid quantity of sample determined via GC-MS for 20:2 omega-6,micrograms,
C20_3n6,fatty acid quantity of sample determined via GC-MS for 20:3 omega-6,micrograms,
C20_4n6,"fatty acid quantity of sample determined via GC-MS for 20:4 omega-6, arachidonic acid",micrograms,
C20_3n3,fatty acid quantity of sample determined via GC-MS for 20:3 omega-3,micrograms,
C20_4n3,fatty acid quantity of sample determined via GC-MS for 20:4 omega-3,micrograms,
C20_5n3,"fatty acid quantity of sample determined via GC-MS for 20:5 omega-3, eicosapentaenoic acid or EPA",micrograms,
C22_0,"fatty acid quantity of sample determined via GC-MS for 22:0, behenic acid",micrograms,
C22_1n9c,fatty acid quantity of sample determined via GC-MS for 22:1 omega-9,micrograms,
C22_2n6,fatty acid quantity of sample determined via GC-MS for 22:2 omega-6,micrograms,
C22_2nX,"fatty acid quantity of sample determined via GC-MS for 22:2, uknown omega double bond location",micrograms,
C22_4n6,fatty acid quantity of sample determined via GC-MS for 22:4 omega-6,micrograms,
C22_3n6,fatty acid quantity of sample determined via GC-MS for 22:3 omega-6,micrograms,
C22_4n3,fatty acid quantity of sample determined via GC-MS for 22:4 omega-3,micrograms,
C22_5n3,"fatty acid quantity of sample determined via GC-MS for 22:5 omega-3, docosapentaenoic acid or DPA",micrograms,
C22_6n3,"fatty acid quantity of sample determined via GC-MS for 22:6 omega-3, docosahexaenoic  acid or DHA",micrograms,
C24_1n9,fatty acid quantity of sample determined via GC-MS for 24:1 omega-9,micrograms,
